Localidad,Tipo_Watts,Cantidad,Ubicacion,Estado,Fecha_Instalacion
San Antonio,20W,25,Calle Principal,Activo,2024-01-15
San Antonio,40W,15,Plaza Central,Activo,2024-01-16
San Antonio,60W,10,Centro Comercial,Activo,2024-01-17
Rosario,20W,30,Av. Libertad,Activo,2024-01-18
Rosario,40W,20,Barrio Norte,Activo,2024-01-19
Rosario,80W,5,Industrial,Activo,2024-01-20
Centro,20W,35,Main Street,Activo,2024-01-21
Centro,40W,25,Downtown,Activo,2024-01-22
Norte,20W,40,Residential Area,Activo,2024-01-23
Norte,60W,15,Commercial Zone,Activo,2024-01-24
Sur,20W,20,South District,Activo,2024-01-25
Sur,40W,12,Market Area,Activo,2024-01-26
Sur,100W,8,Highway,Activo,2024-01-27
